Class	Average Difficulty	Additional Comments	Difficulty	Date
		if new teacher, professor Isaac moise from UCLA, easy class, 2 exams 25% each, final 6 page essay worth 20% rest is just participation/attendance, and the study guides were word for word the exam questions, show up to lecture, he would give us important information that only he would give to the 40 or so people who showed up to the entire lecture hall. difficulty 3/10	3	2/8/2020
RLST005	5.00	This class is overly difficult and complex when it doesn't need to be. Although there are only about 4 assignments, readings are dense and lectures are dense as well. Professor knows what she's talking about, but there is just WAY too much information to process at once especially when lectures are not recorded. 	5	6/3/2022
RLST006	2.00	Took it with Sagan. Definitely take Ali as your TA. One midterm, one final, one paper, and three quizzes in section. As long as you follow the slides, the exams are pretty easy. The TA was very helpful and made sure we were well prepared. Do not need much prior knowledge on Jesus or religion. 	1	2/21/2020
		I took this class with Professor Chang and I had Kori as a TA. They were both very nice and easy going. This class requires two books, one of them you can just find the pdf but I had to buy the other book. It was pretty much easy, just do your section's reading (the online class is set up in a specific way where you're broken up into groups and are given questions that correlate with your group number to which you answer during lectures). There was one midterm and one final, both of which Prof. Chang gave out study guides to (the guides were literally the exact same questions so make sure to do it, he also lets you use the guides during the exams). It's a pretty easy class, you don't really need to spend much energy and time on it. 	3	3/20/2021
RLST007	2.50	Professor Bayer is an awesome and chill professor. He knows that most of his students are only taking the class as a requirement and doesn't try to force the material on students. Course consists of three end-of-section exams and one final project.	2	6/2/2019
		Fall 2021. Eric Martin is a chill professor. He is always available for questions. Follow along the PowerPoint and attend every class. Attendance is mandatory. There are 3 free response quizzes and a midterm and an essay final. Easy class, just pay attention, don't slack like most of the people in this class. It is not as hard as people think.	3	11/22/2021
		I took this class with Professor Eric Martin. This was his first time teaching a class at UCR, so it took a while for him to get used to everything. While the class was a little disorganized, the content itself wasn't really hard. All the readings were optional, and the biggest grades were 2 papers and 3 quizzes. I got lazy halfway through the quarter and stopped attending lectures, but still managed to get an A in the class.  	4	12/15/2021
		I took it Fall 2022 with Dr. Paul Chang. There is some reading but not too much. There is no homework. An extra credit assignment was to go to the Career Center. The exams contain some vocabulary and definitions that the professor goes over in class and some essays. He gives out exam outlines prior. He is empathetic and really passionate and knowledgable about his field.  	1	3/9/2023
RLST012	1.25	Online, 2 written assignments a week(easy), 1 quiz a week. 1 research paper no midterms	1	3/24/2019
		Took with Alexander Michael, easy class. 4 books to read, 2 essays. Midterm and final was easy.	2	12/16/2019
		Took Alexander Michael, extremely easy class with a chill professor.  Lecture did not have mandatory attendance, but discussion section does (you won't have to worry about your grade if you actively participate in discussion).  Quizzes are given out weekly and contain 3-5 questions, it was multiple choice and you have three chances to get 100%.  I never read any of the books assigned and still maintained a 100% average on the quizzes (download the pdf and CTRL+F key words).  Our midterm and final were papers on the book you chose to read, prompt was easy and open-ended enough to read a few pages to get an A.  	1	3/7/2021
RLST012H	7.00	"Had Dr. Lucia... She's very condescending and makes you feel ashamed whenever she's like ""oh you guys should have learned this in high school right? my high schooler just learned this therefore you guys learned this in high school, too."" Anyway, the material can be tough to get your head around at times with someone like that teaching you...  Had weekly discussion questions, quizzes after movies we watched in class, take home midterm that took a while to finish, a final paper that was 6-8 pages long, and a final. Overall the grading is pretty easy but she makes it seem like you're going to fail the class and I disliked the professor which made me dislike the whole class in general. She could have made the subject much more interesting but she instead made it dry. "	5	3/31/2019
		For a breadth class, this was unnecessarily difficult. As an honors student this class was required W20 for first-years and it was insufferable. Even if the material was relatively easy, the workload was sometimes insurmountable in terms of reading and assignments - this is one of those classes where the professor acts like it's your only class and you don't have 2 or 3 others you're also doing readings and writing papers for. Dr. Lucia obviously knows what she's talking about and is esteemed in her field but sometimes acts as though we should already know half of the information she is presenting to us. She picks favorites and can be quite condescending. We also spent like 2 weeks on Native American religion but only 2 on Hinduism/Buddhism combined - of course there's only so much you can teach in 10 weeks but I felt that a lot of it was fairly disproportionate for a class about myth and ritual. Lecture was alright but discussion was based on Socratic seminar which I absolutely hated because attendance and participation (ie. speaking) were mandatory. If you have to take this class then just do as many of the readings as you can early so you don't shoot yourself in the foot later in the quarter before the final.	9	3/2/2020
